v8-version,6,2,414,54,0
code-creation,Builtin,5,4124,0x322e599542c0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,4125,0x322e59954340,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,4126,0x322e599543c0,15,"FunctionConstructor"
code-creation,Builtin,5,4127,0x322e59954440,64,"FunctionPrototypeApply"
code-creation,Builtin,5,4128,0x322e599544e0,1240,"CallWithArrayLike"
tick,0x1005e26c2,4131,0,0x0,4
code-creation,Builtin,5,4140,0x322e59954a20,81,"CallVarargs"
code-creation,Builtin,5,4142,0x322e59954ae0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,4142,0x322e59954ea0,15,"FunctionPrototypeBind"
code-creation,Builtin,5,4143,0x322e59954f20,47,"FunctionPrototypeCall"
code-creation,Builtin,5,4144,0x322e59954fc0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,4145,0x322e59955040,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,4146,0x322e599551a0,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,4147,0x322e59955240,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,4147,0x322e599556c0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,4148,0x322e59955b40,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,4149,0x322e59955c40,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,4150,0x322e59955d60,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,4151,0x322e59955e80,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,4152,0x322e59955fa0,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,4153,0x322e599560c0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,4153,0x322e599561c0,20,"ArrayConstructor"
code-creation,Builtin,5,4154,0x322e59956240,99,"ArrayIsArray"
code-creation,Builtin,5,4155,0x322e59956320,15,"ArrayConcat"
code-creation,Builtin,5,4156,0x322e599563a0,651,"FastArrayPop"
code-creation,Builtin,5,4157,0x322e599566a0,15,"ArrayPop"
code-creation,Builtin,5,4157,0x322e59956720,2400,"FastArrayPush"
code-creation,Builtin,5,4158,0x322e599570e0,15,"ArrayPush"
code-creation,Builtin,5,4159,0x322e59957160,1056,"FastArrayShift"
code-creation,Builtin,5,4160,0x322e599575e0,15,"ArrayShift"
code-creation,Builtin,5,4161,0x322e59957660,15,"ArrayUnshift"
code-creation,Builtin,5,4161,0x322e599576e0,15,"ArraySlice"
code-creation,Builtin,5,4162,0x322e59957760,15,"ArraySplice"
